,Horas,Total_Usos,Usos_Gen_F,Usos_Gen_M
0,01:00:00,3449,747,2702
1,02:00:00,0,0,0
2,03:00:00,0,0,0
3,04:00:00,0,0,0
4,05:00:00,0,0,0
5,06:00:00,35,8,27
6,07:00:00,12998,3454,9544
7,08:00:00,32887,10171,22716
8,09:00:00,74074,20787,53287
9,10:00:00,69018,19149,49869
10,11:00:00,49756,14329,35427
11,12:00:00,47569,13609,33960
12,13:00:00,50610,14671,35939
13,14:00:00,59919,17231,42688
14,15:00:00,76018,21297,54721
15,16:00:00,72077,20200,51877
16,17:00:00,58815,16823,41992
17,18:00:00,57403,16812,40591
18,19:00:00,76769,22659,54110
19,20:00:00,70516,19672,50844
20,21:00:00,48846,13746,35100
21,22:00:00,34338,9107,25231
22,23:00:00,21591,5232,16359
23,24:00:00,11393,2579,8814
