,Horas,Total_Usos,Usos_Gen_F,Usos_Gen_M
0,01:00:00,9261,1873,7388
1,02:00:00,0,0,0
2,03:00:00,0,0,0
3,04:00:00,0,0,0
4,05:00:00,0,0,0
5,06:00:00,3112,717,2395
6,07:00:00,42991,11147,31844
7,08:00:00,115642,32096,83546
8,09:00:00,234503,65266,169237
9,10:00:00,184543,48846,135697
10,11:00:00,135390,37352,98038
11,12:00:00,125503,35079,90424
12,13:00:00,133371,37075,96296
13,14:00:00,161332,45064,116268
14,15:00:00,199911,55060,144851
15,16:00:00,189776,51442,138334
16,17:00:00,155322,42661,112661
17,18:00:00,162948,46494,116454
18,19:00:00,222976,62807,160169
19,20:00:00,188164,51111,137053
20,21:00:00,125734,33702,92032
21,22:00:00,85826,22323,63503
22,23:00:00,54953,13232,41721
23,24:00:00,29563,6607,22956
