,Horas,Total_Usos,Usos_Gen_F,Usos_Gen_M
0,01:00:00,11401,2061,9340
1,02:00:00,0,0,0
2,03:00:00,0,0,0
3,04:00:00,0,0,0
4,05:00:00,0,0,0
5,06:00:00,11024,2661,8363
6,07:00:00,53544,13674,39870
7,08:00:00,147615,38450,109165
8,09:00:00,287549,76869,210680
9,10:00:00,218962,57111,161851
10,11:00:00,153216,40370,112846
11,12:00:00,144759,37958,106801
12,13:00:00,155473,40883,114590
13,14:00:00,186612,48800,137812
14,15:00:00,229821,59612,170209
15,16:00:00,222405,57952,164453
16,17:00:00,178276,46698,131578
17,18:00:00,189902,51170,138732
18,19:00:00,277615,74949,202666
19,20:00:00,235967,60531,175436
20,21:00:00,151295,38729,112566
21,22:00:00,101940,25176,76764
22,23:00:00,65245,14666,50579
23,24:00:00,36629,7516,29113
