,Horas,Total_Usos,Usos_Gen_F,Usos_Gen_M
0,01:00:00,8798,1562,7236
1,02:00:00,0,0,0
2,03:00:00,0,0,0
3,04:00:00,1,0,1
4,05:00:00,1,0,1
5,06:00:00,13147,3097,10050
6,07:00:00,53651,13819,39832
7,08:00:00,142677,37682,104995
8,09:00:00,255949,67264,188685
9,10:00:00,198766,50338,148428
10,11:00:00,134229,34144,100085
11,12:00:00,123897,30689,93208
12,13:00:00,133098,32932,100166
13,14:00:00,160233,39617,120616
14,15:00:00,193120,47451,145669
15,16:00:00,189382,46591,142791
16,17:00:00,155182,39174,116008
17,18:00:00,186444,48307,138137
18,19:00:00,252643,66636,186007
19,20:00:00,205807,50998,154809
20,21:00:00,123549,29420,94129
21,22:00:00,82715,19086,63629
22,23:00:00,52186,10828,41358
23,24:00:00,28817,5460,23357
