,Horas,Total_Usos,Usos_Gen_F,Usos_Gen_M
0,01:00:00,9901,1718,8183
1,02:00:00,2274,366,1908
2,03:00:00,1150,151,999
3,04:00:00,24,3,21
4,05:00:00,0,0,0
5,06:00:00,13646,2966,10680
6,07:00:00,57407,14848,42559
7,08:00:00,146310,38498,107812
8,09:00:00,266474,71308,195166
9,10:00:00,202263,52414,149849
10,11:00:00,132887,34802,98085
11,12:00:00,120383,30421,89962
12,13:00:00,128859,31953,96906
13,14:00:00,155061,38297,116764
14,15:00:00,188101,46987,141114
15,16:00:00,183763,46390,137373
16,17:00:00,157972,39836,118136
17,18:00:00,194057,51227,142830
18,19:00:00,260046,69132,190914
19,20:00:00,202861,50654,152207
20,21:00:00,122924,29223,93701
21,22:00:00,80676,18540,62136
22,23:00:00,51509,10542,40967
23,24:00:00,27470,5168,22302
